session_id,session,session_date,invalid_reason,or_bar_count
ny_2024-12-31,ny,2024-12-31,insufficient_opening_range_bars,0
ny_2025-01-04,ny,2025-01-04,or_size_below_min,3
ny_2025-01-13,ny,2025-01-13,or_size_above_max,3
ny_2025-01-25,ny,2025-01-25,or_size_below_min,3
ny_2025-01-26,ny,2025-01-26,or_size_below_min,3
ny_2025-02-01,ny,2025-02-01,or_size_below_min,3
ny_2025-02-02,ny,2025-02-02,or_size_below_min,3
ny_2025-02-08,ny,2025-02-08,or_size_below_min,3
ny_2025-02-09,ny,2025-02-09,or_size_below_min,3
ny_2025-02-15,ny,2025-02-15,or_size_below_min,3
ny_2025-02-16,ny,2025-02-16,or_size_below_min,3
ny_2025-03-04,ny,2025-03-04,or_size_above_max,3
ny_2025-03-08,ny,2025-03-08,or_size_below_min,3
ny_2025-03-15,ny,2025-03-15,or_size_below_min,3
ny_2025-03-22,ny,2025-03-22,or_size_below_min,3
ny_2025-03-23,ny,2025-03-23,or_size_below_min,3
ny_2025-04-18,ny,2025-04-18,or_size_below_min,3
ny_2025-04-19,ny,2025-04-19,or_size_below_min,3
ny_2025-05-10,ny,2025-05-10,or_size_below_min,3
ny_2025-05-31,ny,2025-05-31,or_size_below_min,3
ny_2025-06-28,ny,2025-06-28,or_size_below_min,3
ny_2025-07-05,ny,2025-07-05,or_size_below_min,3
ny_2025-07-19,ny,2025-07-19,or_size_below_min,3
ny_2025-07-20,ny,2025-07-20,or_size_below_min,3
ny_2025-07-26,ny,2025-07-26,or_size_below_min,3
ny_2025-07-27,ny,2025-07-27,or_size_below_min,3
ny_2025-08-03,ny,2025-08-03,or_size_below_min,3
ny_2025-08-16,ny,2025-08-16,or_size_below_min,3
ny_2025-08-30,ny,2025-08-30,or_size_below_min,3
ny_2025-09-06,ny,2025-09-06,or_size_below_min,3
ny_2025-09-07,ny,2025-09-07,or_size_below_min,3
ny_2025-09-20,ny,2025-09-20,or_size_below_min,3
ny_2025-09-27,ny,2025-09-27,or_size_below_min,3
ny_2025-10-05,ny,2025-10-05,or_size_below_min,3
ny_2025-10-18,ny,2025-10-18,or_size_below_min,3
ny_2025-11-29,ny,2025-11-29,or_size_below_min,3
ny_2025-12-20,ny,2025-12-20,or_size_below_min,3
ny_2025-12-25,ny,2025-12-25,or_size_below_min,3
ny_2025-12-27,ny,2025-12-27,or_size_below_min,3
