symbol,market_type,tp_variant,side,trades_count,total_return,win_rate,profit_factor,expectancy
BTCUSDT,crypto_futures,midpoint,long,100,-0.2860936087042285,0.1,0.039121779086872525,-0.0033564459971401734
BTCUSDT,crypto_futures,midpoint,short,116,-0.2759190565057741,0.09482758620689655,0.05625333555045374,-0.0027744838181653895
BTCUSDT,crypto_futures,opposite_extreme,long,100,-0.19350512797278707,0.34,0.3396371314459707,-0.0021293755207162975
BTCUSDT,crypto_futures,opposite_extreme,short,116,-0.1900780037887484,0.3879310344827586,0.37519721210332,-0.0017994304542523166
QQQ,equity,midpoint,long,75,-0.0886127203074889,0.29333333333333333,0.09986299856366829,-0.0012340587236057304
QQQ,equity,midpoint,short,65,-0.0730677391152732,0.3076923076923077,0.21310117368550519,-0.001163716722533626
QQQ,equity,opposite_extreme,long,75,-0.06953338807425691,0.5333333333333333,0.5064169739197346,-0.0009513520607349634
QQQ,equity,opposite_extreme,short,65,-0.05707199738786983,0.5538461538461539,0.5738627224611258,-0.0008900871195440894
SPY,equity,midpoint,long,76,-0.06670974282838826,0.21052631578947367,0.09133577811105849,-0.000907054439573668
SPY,equity,midpoint,short,84,-0.0656750038584899,0.2619047619047619,0.1874712457245414,-0.0008072033690543325
SPY,equity,opposite_extreme,long,76,-0.03146646172579515,0.5394736842105263,0.58904929901459,-0.0004182792921800269
SPY,equity,opposite_extreme,short,84,-0.0568706146365463,0.4642857142857143,0.5155131581473668,-0.0006922398472458468
